date,btc_open,btc_high,btc_low,btc_close,btc_volume,fng_value,fng_class,active_addresses,tx_count,tx_volume,bitcoin_interest,dollar_value,10Y_yield,cpi,dow_adj,sp_adj,nasdaq_adj,sp_ret,nasdaq_ret,dow_ret
2018-01-02,13189.08,14780.26,12910.58,14596.11,13013.6729312,30.0,Fear,850802.0,340980.0,240354.96060218,51,109.6444,2.46,248.859,24824.009765625,2695.81005859375,7006.89990234375,0.008303361477520088,0.014994048369718627,0.0042391733848936575
2018-01-03,14596.68,15500.0,14546.28,14834.3,14242.67888714,30.0,Fear,937531.0,395963.0,192904.46921229,51,109.6751,2.44,248.859,24922.6796875,2713.06005859375,7065.52978515625,0.006398818768781567,0.008367449746625955,0.003974777757767223
2018-01-04,14822.12,15430.27,14192.37,14780.4,14155.24850951,30.0,Fear,1054712.0,425008.0,266691.83551222,51,109.4779,2.46,248.859,25075.130859375,2723.989990234375,7077.91015625,0.004028636080503967,0.0017522212021183758,0.006116965502367844
2018-01-05,14781.45,16532.99,14773.67,16367.42,15989.73059737,30.0,Fear,888403.0,342707.0,300697.15059168,51,109.3496,2.47,248.859,25295.869140625,2743.14990234375,7136.56005859375,0.007033767443369587,0.00828633043497451,0.008803075943568661
2018-01-06,16367.42,17200.0,16194.98,16772.83,11893.84693957,30.0,Fear,889099.0,358847.0,227080.97000697,51,109.3496,2.47,248.859,25295.869140625,2743.14990234375,7136.56005859375,0.007033767443369587,0.00828633043497451,0.008803075943568661
2018-01-07,16759.01,17234.99,15707.16,16093.08,8714.48606683,30.0,Fear,910005.0,368187.0,294130.97774182,51,109.3496,2.47,248.859,25295.869140625,2743.14990234375,7136.56005859375,0.007033767443369587,0.00828633043497451,0.008803075943568661
2018-01-08,16097.51,16521.66,13900.0,14908.69,15877.87300469,30.0,Fear,895997.0,345672.0,267166.4271006,51,109.5678,2.49,248.859,25283.0,2747.7099609375,7157.39013671875,0.0016623439316436617,0.002918784113631334,-0.0005087447501194164
2018-01-09,14949.9,15367.18,14123.97,14747.78,13276.21947319,30.0,Fear,919150.0,360265.0,264721.74039898,51,109.9022,2.55,248.859,25385.80078125,2751.2900390625,7163.580078125,0.0013029315960912946,0.0008648321927422487,0.004066004083771668
2018-01-10,14747.78,14851.3,13412.0,14525.4,19054.93631743,30.0,Fear,876990.0,347393.0,259905.10710957,51,109.6277,2.55,248.859,25369.130859375,2748.22998046875,7153.56982421875,-0.0011122268282528491,-0.0013973814485326308,-0.000656663227551646
2018-01-11,14530.56,14973.07,12800.0,13702.83,18445.7358044,30.0,Fear,822011.0,337959.0,271657.80907951,51,109.4887,2.54,248.859,25574.73046875,2767.56005859375,7211.77978515625,0.007033646478779465,0.0081371905730796,0.008104322158873689
2018-01-12,13729.94,14152.19,12807.27,13520.0,14852.87145172,30.0,Fear,746540.0,300091.0,234452.1163729,51,108.9011,2.55,248.859,25803.189453125,2786.239990234375,7261.06005859375,0.006749602987881076,0.0068333025834943495,0.008932996758427514
2018-01-13,13520.0,14619.1,13489.77,14254.98,8608.61667745,30.0,Fear,652050.0,265735.0,180517.22600845,51,108.9011,2.55,248.859,25803.189453125,2786.239990234375,7261.06005859375,0.006749602987881076,0.0068333025834943495,0.008932996758427514
2018-01-14,14254.98,14365.81,13072.22,13563.11,7603.88914076,30.0,Fear,592042.0,235045.0,193346.28656227,51,108.9011,2.55,248.859,25803.189453125,2786.239990234375,7261.06005859375,0.006749602987881076,0.0068333025834943495,0.008932996758427514
2018-01-15,13564.26,14394.36,13300.0,13942.18,8201.77942137,30.0,Fear,670840.0,273623.0,201862.47414349,51,108.9011,2.55,248.859,25803.189453125,2786.239990234375,7261.06005859375,0.006749602987881076,0.0068333025834943495,0.008932996758427514
2018-01-16,13993.05,14026.19,11120.91,11554.53,29872.61275881,30.0,Fear,737399.0,303725.0,270303.67202109,51,108.322,2.54,248.859,25792.859375,2776.419921875,7223.68994140625,-0.003524487622672101,-0.005146647581198649,-0.0004003411339426055
2018-01-17,11526.53,11882.75,9222.0,9780.36,43307.50103284,30.0,Fear,768382.0,315771.0,272729.60131204,51,108.1526,2.57,248.859,26115.650390625,2802.56005859375,7298.27978515625,0.009415051560751175,0.010325726097745402,0.012514743361019764
2018-01-18,9780.33,12146.0,9780.32,11788.35,27225.30031542,30.0,Fear,744190.0,309495.0,241214.79459974,51,108.0655,2.62,248.859,26017.810546875,2798.030029296875,7296.0498046875,-0.0016163897301626484,-0.00030554877784838563,-0.0037464065526441326
2018-01-19,11790.0,12050.39,11025.18,11270.01,15596.95478032,30.0,Fear,578407.0,243619.0,221363.36490052,51,107.9454,2.64,248.859,26071.720703125,2810.300048828125,7336.3798828125,0.004385235112838837,0.00552765937796762,0.0020720481515104083
2018-01-20,11270.0,13052.12,11161.78,12968.01,10563.17612926,30.0,Fear,559712.0,240611.0,210298.64211444,51,107.9454,2.64,248.859,26071.720703125,2810.300048828125,7336.3798828125,0.004385235112838837,0.00552765937796762,0.0020720481515104083
2018-01-21,12961.0,12999.9,11214.4,11514.92,11194.77208615,30.0,Fear,522862.0,215622.0,154149.93558558,51,107.9454,2.64,248.859,26071.720703125,2810.300048828125,7336.3798828125,0.004385235112838837,0.00552765937796762,0.0020720481515104083
2018-01-22,11513.68,11910.78,10330.01,10488.78,13958.01851946,30.0,Fear,574421.0,245562.0,201527.199663,51,108.1069,2.66,248.859,26214.599609375,2832.969970703125,7408.02978515625,0.008066726499347698,0.009766383896178787,0.005480225408861283
2018-01-23,10488.78,11409.87,9927.54,11234.98,19787.82101072,30.0,Fear,547569.0,271936.0,178482.55919668,51,107.9981,2.63,248.859,26210.810546875,2839.1298828125,7460.2900390625,0.0021743654797181655,0.007054541547735882,-0.0001445401629801557
2018-01-24,11207.45,11500.0,10488.13,11047.74,12015.09050974,30.0,Fear,576213.0,250423.0,186181.46222014,51,107.0801,2.65,248.859,26252.119140625,2837.5400390625,7415.06005859375,-0.0005599757022828333,-0.006062764347220195,0.0015760135947007203
2018-01-25,11047.66,11741.82,10868.57,11246.98,11067.25707218,30.0,Fear,539582.0,236580.0,189321.54466837,51,106.5052,2.63,248.859,26392.7890625,2839.25,7411.16015625,0.0006026209018938911,-0.0005259434600574098,0.005358421585757389
